"url,""Image"",""Name_surname"",""Details"",""ID"",""Degree"",""Date"",""Structure"",""More_details"",""More_details_link""";;;;;;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=3&offset=24,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=18313&image=mini"",""Per - Olof Astrand"",""Per - Olof Astrand"",""Fascicolo N.: 233"; Laurea conferita: Scienze motorie; Data laurea: 18/11/2002; Struttura proponente: Scienze Motorie;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=18313""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=3&offset=24,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=18264&image=mini"",""Tage Astrup"",""Tage Astrup"",""Fascicolo N.: 48"; Laurea conferita: Medicina e Chirurgia; Data laurea: 23/11/1988; Struttura proponente: Medicina e Chirurgia;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=18264""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=3&offset=24,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=18319&image=mini"",""Anthony Barnes Atkinson"",""Anthony Barnes Atkinson"",""Fascicolo N.: 132"; Laurea conferita: Scienze Politiche (ind. Politico-Economico); Data laurea: 23/10/1995; Struttura proponente: Scienze Politiche;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=18319""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=3&offset=24,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=28208&image=mini"",""Francisco José Ayala"",""Francisco José Ayala"",""Fascicolo N.: 214"; Laurea conferita: Scienze Naturali; Data laurea: 21/05/2001; Struttura proponente: Scienze Matematiche, Fisiche e Naturali;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=28208""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=4&offset=36,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=111566&image=mini"",""Maurice Aymard"",""Maurice Aymard"",""Fascicolo N.: 268"; Laurea conferita: Geografia e processi territoriali; Data laurea: 03/02/2006; Struttura proponente: Lettere e Filosofia;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=111566""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=4&offset=36,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=132307&image=mini"",""Pietrantonio Babini"",""Pietrantonio Babini"",""Fascicolo N.: 745"; Laurea conferita: Chimica Industriale; Data laurea: 11/12/1958; Struttura proponente: Chimica Industriale;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=132307""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=4&offset=36,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112739&image=mini"",""Odoardo Bacchelli"",""Odoardo Bacchelli"",""Fascicolo N.: 4589"; Laurea conferita: Matematica; Data laurea: 09/01/1918; Struttura proponente: Scienze;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112739""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=4&offset=36,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112706&image=mini"",""Riccardo Bacchelli"",""Riccardo Bacchelli"",""Laurea conferita: Lettere"; Data laurea: 16/12/1940; Struttura proponente: Lettere e Filosofia;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112706""";;;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=4&offset=36,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112446&image=mini"",""Camillo Bacchilega"",""Camillo Bacchilega"",""Fascicolo N.: 5351"; Laurea conferita: Agraria; Data laurea: 07/12/1946; Struttura proponente: Agraria;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=112446""";;
"https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?page=4&offset=36,""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=18278&image=mini"",""Uriel Bachrach"",""Uriel Bachrach"",""Fascicolo N.: 128"; Laurea conferita: Medicina e Chirurgia; Data laurea: 29/05/1995; Struttura proponente: Medicina e Chirurgia;" Vedi dettagli"",""Vedi dettagli"",""https://archiviostorico.unibo.it/it/patrimonio-documentario/lauree-honoris-causa?record=18278""";;
